yr,plt,fg,sp,bio
2014,6,AF,TOAR,0
2014,6,AF,UNER,0
2014,6,AF,UNEU,0
2014,6,AF,UNFOA,0
2014,6,AF,UNGA,0
2014,6,AF,URPI,0
2014,6,AG,AICA,0
2014,6,AG,AVBA,0
2014,6,AG,AVFA,0
2014,6,AG,BRCO4,0
2014,6,AG,BRDI2,24.89
2014,6,AG,BRDI3,0
2014,6,AG,BRHO2,0
2014,6,AG,BRMA,0
2014,6,AG,BRMA3,0
2014,6,AG,BRMI2,0
2014,6,AG,GAPH2,0
2014,6,AG,HOMAG,0
2014,6,AG,JUBU,0
2014,6,AG,LOPEM2,2.7
2014,6,AG,UNAV,0
2014,6,AG,UNFE,0
2014,6,AG,UNGRA,7.3
2014,6,AG,UNHO,0
2014,6,AG,UNRS,0
2014,6,AG,UNSENAG,0
2014,6,AG,VUBR,0
2014,6,LITR,LITR,301.7
2014,6,MISC,BAPI,0
2014,6,MISC,GEMO2,0
2014,6,MISC,PIAT4,0
2014,6,MISC,QUAG,0
2014,6,MISC,QULO,0
2014,6,MISC,TODI,0
2014,6,MISC,UN,0
2014,6,MISC,UNAP,0
2014,6,MISC,UNAS,0
2014,6,MISC,UNBR,0
2014,6,MISC,UNFO,0
2014,6,MISC,UNGR,0
2014,6,MISC,UNSEN,0
2014,6,NF,LOPU3,0
2014,6,NF,MEPO3,0
2014,6,NF,TRDU2,0
2014,6,NF,TRHI4,0
2014,6,NF,TRSU3,0
2014,6,NF,UNLU,0
2014,6,NF,UNTR,0
2014,6,NF,VISA,0
2014,6,NF,VITE,0
2014,6,PF,CAOV4,0
2014,6,PF,CIVU,0
2014,6,PF,COAR4,0
2014,6,PF,CRVET,4.75
2014,6,PF,DISA9,0
2014,6,PF,PLLA,0
2014,6,PF,PSCA13,0
2014,6,PF,RUAC3,0
2014,6,PF,RUCR,0
2014,6,PF,SIBE,0
2014,6,PF,UNPL,0
2014,6,PF,UNRU,0
2014,6,PF,WYAN,0
2014,6,PG,DACA3,0
2014,6,PG,DACA3_S,0
2014,6,PG,ELGL,0
2014,6,PG,ELGL_S,0
2014,6,PG,ELMU3,0
2014,6,PG,NAPU4,100.43
2014,6,PG,NAPU4_S,0
2014,6,PG,PHAQ,0
2014,6,PG,UNGRP,0
2014,6,PG,UNGRPS,0
2014,6,PG,UNSENPG,0
2014,7,AF,ANAR,0
2014,7,AF,CAPY2,0
2014,7,AF,CEDA,0
2014,7,AF,CEGL2,0
2014,7,AF,CESO3,0
2014,7,AF,COCA5,0
2014,7,AF,CRSE11,0
2014,7,AF,EPBR3,0
2014,7,AF,ERBO,28.87
2014,7,AF,ERCI6,0
2014,7,AF,GEDI,3.97
2014,7,AF,HECOL3,0
2014,7,AF,HYGL2,0
2014,7,AF,KISP,0
2014,7,AF,LASE,0
2014,7,AF,LIHY3,0
2014,7,AF,LOGA2,0
2014,7,AF,MADI6,0
2014,7,AF,MAGR3,0
2014,7,AF,PAVI3,0
2014,7,AF,PIEC,0
2014,7,AF,PSLU6,0
2014,7,AF,SEVU,0
2014,7,AF,SOAS,0
2014,7,AF,TOAR,0
2014,7,AF,UNER,0
2014,7,AF,UNEU,0
2014,7,AF,UNFOA,0
2014,7,AF,UNGA,0
2014,7,AF,URPI,0
2014,7,AG,AICA,0
2014,7,AG,AVBA,0
2014,7,AG,AVFA,0
2014,7,AG,BRCO4,0
2014,7,AG,BRDI2,98.94
2014,7,AG,BRDI3,6.74
2014,7,AG,BRHO2,0
2014,7,AG,BRMA,0
2014,7,AG,BRMA3,0
2014,7,AG,BRMI2,0
2014,7,AG,GAPH2,0
2014,7,AG,HOMAG,0
2014,7,AG,JUBU,0
2014,7,AG,LOPEM2,2.7
2014,7,AG,UNAV,0
2014,7,AG,UNFE,0
2014,7,AG,UNGRA,75.39
2014,7,AG,UNHO,0
2014,7,AG,UNRS,0
2014,7,AG,UNSENAG,0
2014,7,AG,VUBR,0
2014,7,LITR,LITR,476.52
2014,7,MISC,BAPI,0
2014,7,MISC,GEMO2,0
2014,7,MISC,PIAT4,0
2014,7,MISC,QUAG,0
2014,7,MISC,QULO,0
2014,7,MISC,TODI,0
2014,7,MISC,UN,0
2014,7,MISC,UNAP,0
2014,7,MISC,UNAS,0
2014,7,MISC,UNBR,0
2014,7,MISC,UNFO,0
2014,7,MISC,UNGR,0
2014,7,MISC,UNSEN,0
2014,7,NF,LOPU3,0
2014,7,NF,MEPO3,0
2014,7,NF,TRDU2,0
2014,7,NF,TRHI4,0
2014,7,NF,TRSU3,0
2014,7,NF,UNLU,0
2014,7,NF,UNTR,0
2014,7,NF,VISA,0
2014,7,NF,VITE,0
2014,7,PF,CAOV4,0
2014,7,PF,CIVU,0
2014,7,PF,COAR4,0
2014,7,PF,CRVET,0
2014,7,PF,DISA9,0
2014,7,PF,PLLA,0
2014,7,PF,PSCA13,0
2014,7,PF,RUAC3,0
2014,7,PF,RUCR,0
2014,7,PF,SIBE,0
2014,7,PF,UNPL,0
2014,7,PF,UNRU,0
2014,7,PF,WYAN,0
2014,7,PG,DACA3,0
2014,7,PG,DACA3_S,0
2014,7,PG,ELGL,0
2014,7,PG,ELGL_S,0
2014,7,PG,ELMU3,0
2014,7,PG,NAPU4,57.02
2014,7,PG,NAPU4_S,0
2014,7,PG,PHAQ,0
2014,7,PG,UNGRP,0
2014,7,PG,UNGRPS,0
2014,7,PG,UNSENPG,0
2014,8,AF,ANAR,0
2014,8,AF,CAPY2,0
2014,8,AF,CEDA,0
2014,8,AF,CEGL2,0
2014,8,AF,CESO3,0
2014,8,AF,COCA5,0
2014,8,AF,CRSE11,0
2014,8,AF,EPBR3,0
2014,8,AF,ERBO,74.26
2014,8,AF,ERCI6,0
2014,8,AF,GEDI,2.84
2014,8,AF,HECOL3,0
2014,8,AF,HYGL2,0
2014,8,AF,KISP,0
2014,8,AF,LASE,0
2014,8,AF,LIHY3,0
2014,8,AF,LOGA2,0
2014,8,AF,MADI6,0
2014,8,AF,MAGR3,0
2014,8,AF,PAVI3,0
2014,8,AF,PIEC,0
2014,8,AF,PSLU6,0
2014,8,AF,SEVU,0
2014,8,AF,SOAS,0
2014,8,AF,TOAR,0
2014,8,AF,UNER,0
2014,8,AF,UNEU,0
2014,8,AF,UNFOA,0
2014,8,AF,UNGA,0
2014,8,AF,URPI,0
2014,8,AG,AICA,0
2014,8,AG,AVBA,8.01
2014,8,AG,AVFA,0
2014,8,AG,BRCO4,0
2014,8,AG,BRDI2,69.22
2014,8,AG,BRDI3,0
2014,8,AG,BRHO2,0.71
2014,8,AG,BRMA,0
2014,8,AG,BRMA3,0
2014,8,AG,BRMI2,0
2014,8,AG,GAPH2,0
2014,8,AG,HOMAG,0
2014,8,AG,JUBU,0
2014,8,AG,LOPEM2,5.82
2014,8,AG,UNAV,0
2014,8,AG,UNFE,0
2014,8,AG,UNGRA,19.72
2014,8,AG,UNHO,0
2014,8,AG,UNRS,0
2014,8,AG,UNSENAG,0
2014,8,AG,VUBR,0
2014,8,LITR,LITR,105.32
2014,8,MISC,BAPI,0
2014,8,MISC,GEMO2,0
2014,8,MISC,PIAT4,0
2014,8,MISC,QUAG,0
2014,8,MISC,QULO,0
2014,8,MISC,TODI,0
2014,8,MISC,UN,0
2014,8,MISC,UNAP,0
2014,8,MISC,UNAS,0
2014,8,MISC,UNBR,0
2014,8,MISC,UNFO,0
2014,8,MISC,UNGR,0
2014,8,MISC,UNSEN,0
2014,8,NF,LOPU3,0
2014,8,NF,MEPO3,0
2014,8,NF,TRDU2,0
2014,8,NF,TRHI4,0
2014,8,NF,TRSU3,0
2014,8,NF,UNLU,0
2014,8,NF,UNTR,0
2014,8,NF,VISA,0
2014,8,NF,VITE,0
2014,8,PF,CAOV4,0
2014,8,PF,CIVU,0
2014,8,PF,COAR4,0
2014,8,PF,CRVET,27.38
2014,8,PF,DISA9,0
2014,8,PF,PLLA,0
2014,8,PF,PSCA13,0
2014,8,PF,RUAC3,0
2014,8,PF,RUCR,0
2014,8,PF,SIBE,0
2014,8,PF,UNPL,0
2014,8,PF,UNRU,0
2014,8,PF,WYAN,0
2014,8,PG,DACA3,0
2014,8,PG,DACA3_S,0
2014,8,PG,ELGL,0
2014,8,PG,ELGL_S,0
2014,8,PG,ELMU3,0
2014,8,PG,NAPU4,0
2014,8,PG,NAPU4_S,0
2014,8,PG,PHAQ,0
2014,8,PG,UNGRP,0
2014,8,PG,UNGRPS,0
2014,8,PG,UNSENPG,0
2014,9,AF,ANAR,0
2014,9,AF,CAPY2,0
2014,9,AF,CEDA,0
2014,9,AF,CEGL2,0
2014,9,AF,CESO3,0
2014,9,AF,COCA5,0
2014,9,AF,CRSE11,0
2014,9,AF,EPBR3,0
2014,9,AF,ERBO,0
2014,9,AF,ERCI6,0
2014,9,AF,GEDI,0.5
2014,9,AF,HECOL3,0
2014,9,AF,HYGL2,0
2014,9,AF,KISP,0
2014,9,AF,LASE,0
2014,9,AF,LIHY3,0
2014,9,AF,LOGA2,0
2014,9,AF,MADI6,0
2014,9,AF,MAGR3,0
2014,9,AF,PAVI3,0
2014,9,AF,PIEC,0
2014,9,AF,PSLU6,0
2014,9,AF,SEVU,0
2014,9,AF,SOAS,0
2014,9,AF,TOAR,0
2014,9,AF,UNER,0
2014,9,AF,UNEU,0
2014,9,AF,UNFOA,0
2014,9,AF,UNGA,0
2014,9,AF,URPI,0
2014,9,AG,AICA,0
2014,9,AG,AVBA,0
2014,9,AG,AVFA,196.74
2014,9,AG,BRCO4,0
2014,9,AG,BRDI2,0
2014,9,AG,BRDI3,0
2014,9,AG,BRHO2,0
2014,9,AG,BRMA,0
2014,9,AG,BRMA3,0
2014,9,AG,BRMI2,0
2014,9,AG,GAPH2,0
2014,9,AG,HOMAG,0
2014,9,AG,JUBU,0
2014,9,AG,LOPEM2,0
2014,9,AG,UNAV,0
2014,9,AG,UNFE,0
2014,9,AG,UNGRA,24.89
2014,9,AG,UNHO,0
2014,9,AG,UNRS,0
2014,9,AG,UNSENAG,0
2014,9,AG,VUBR,0
2014,9,LITR,LITR,477.8
2014,9,MISC,BAPI,0
2014,9,MISC,GEMO2,0
2014,9,MISC,PIAT4,0
2014,9,MISC,QUAG,0
2014,9,MISC,QULO,0
2014,9,MISC,TODI,0
2014,9,MISC,UN,0
2014,9,MISC,UNAP,0
2014,9,MISC,UNAS,0
2014,9,MISC,UNBR,0
2014,9,MISC,UNFO,0
2014,9,MISC,UNGR,0
2014,9,MISC,UNSEN,0
2014,9,NF,LOPU3,0
2014,9,NF,MEPO3,0
2014,9,NF,TRDU2,0
2014,9,NF,TRHI4,0
2014,9,NF,TRSU3,0
2014,9,NF,UNLU,0
2014,9,NF,UNTR,0
2014,9,NF,VISA,0
2014,9,NF,VITE,0
2014,9,PF,CAOV4,3.55
2014,9,PF,CIVU,0
2014,9,PF,COAR4,0
2014,9,PF,CRVET,9.93
2014,9,PF,DISA9,0
2014,9,PF,PLLA,0
2014,9,PF,PSCA13,0
2014,9,PF,RUAC3,0
2014,9,PF,RUCR,0
2014,9,PF,SIBE,0
2014,9,PF,UNPL,0
2014,9,PF,UNRU,0
2014,9,PF,WYAN,0
2014,9,PG,DACA3,0
2014,9,PG,DACA3_S,0
2014,9,PG,ELGL,0
2014,9,PG,ELGL_S,0
2014,9,PG,ELMU3,0
2014,9,PG,NAPU4,77.09
2014,9,PG,NAPU4_S,0
2014,9,PG,PHAQ,0
2014,9,PG,UNGRP,0
2014,9,PG,UNGRPS,0
2014,9,PG,UNSENPG,0
2014,10,AF,ANAR,0
2014,10,AF,CAPY2,0
2014,10,AF,CEDA,0
2014,10,AF,CEGL2,0
2014,10,AF,CESO3,0
