yr,plt,fg,sp,bio
2014,1,AF,ANAR,0
2014,1,AF,CAPY2,0
2014,1,AF,CEDA,0
2014,1,AF,CEGL2,0
2014,1,AF,CESO3,0
2014,1,AF,COCA5,0
2014,1,AF,CRSE11,0
2014,1,AF,EPBR3,0
2014,1,AF,ERBO,50.85
2014,1,AF,ERCI6,0
2014,1,AF,GEDI,8.3
2014,1,AF,HECOL3,0
2014,1,AF,HYGL2,0
2014,1,AF,KISP,0
2014,1,AF,LASE,0
2014,1,AF,LIHY3,0
2014,1,AF,LOGA2,0
2014,1,AF,MADI6,0
2014,1,AF,MAGR3,0
2014,1,AF,PAVI3,0
2014,1,AF,PIEC,0
2014,1,AF,PSLU6,0
2014,1,AF,SEVU,0
2014,1,AF,SOAS,0
2014,1,AF,TOAR,3.26
2014,1,AF,UNER,0
2014,1,AF,UNEU,0
2014,1,AF,UNFOA,0
2014,1,AF,UNGA,0
2014,1,AF,URPI,0
2014,1,AG,AICA,0
2014,1,AG,AVBA,0
2014,1,AG,AVFA,0
2014,1,AG,BRCO4,0
2014,1,AG,BRDI2,0
2014,1,AG,BRDI3,23.62
2014,1,AG,BRHO2,0
2014,1,AG,BRMA,0
2014,1,AG,BRMA3,0
2014,1,AG,BRMI2,0
2014,1,AG,GAPH2,0
2014,1,AG,HOMAG,0
2014,1,AG,JUBU,0
2014,1,AG,LOPEM2,0
2014,1,AG,UNAV,0
2014,1,AG,UNFE,0
2014,1,AG,UNGRA,24.11
2014,1,AG,UNHO,0
2014,1,AG,UNRS,0
2014,1,AG,UNSENAG,0
2014,1,AG,VUBR,0.21
2014,1,LITR,LITR,265.46
2014,1,MISC,BAPI,0
2014,1,MISC,GEMO2,0
2014,1,MISC,PIAT4,0
2014,1,MISC,QUAG,0
2014,1,MISC,QULO,0
2014,1,MISC,TODI,0
2014,1,MISC,UN,0
2014,1,MISC,UNAP,0
2014,1,MISC,UNAS,0
2014,1,MISC,UNBR,0
2014,1,MISC,UNFO,0
2014,1,MISC,UNGR,0
2014,1,MISC,UNSEN,0
2014,1,NF,LOPU3,0
2014,1,NF,MEPO3,0
2014,1,NF,TRDU2,0
2014,1,NF,TRHI4,0
2014,1,NF,TRSU3,0
2014,1,NF,UNLU,0
2014,1,NF,UNTR,0
2014,1,NF,VISA,2.06
2014,1,NF,VITE,0
2014,1,PF,CAOV4,0
2014,1,PF,CIVU,0
2014,1,PF,COAR4,0
2014,1,PF,CRVET,0.85
2014,1,PF,DISA9,0
2014,1,PF,PLLA,0
2014,1,PF,PSCA13,0
2014,1,PF,RUAC3,0
2014,1,PF,RUCR,67.94
2014,1,PF,SIBE,0
2014,1,PF,UNPL,0
2014,1,PF,UNRU,0
2014,1,PF,WYAN,0
2014,1,PG,DACA3,0
2014,1,PG,DACA3_S,0
2014,1,PG,ELGL,70.92
2014,1,PG,ELGL_S,0
2014,1,PG,ELMU3,0
2014,1,PG,NAPU4,0
2014,1,PG,NAPU4_S,0
2014,1,PG,PHAQ,0
2014,1,PG,UNGRP,0
2014,1,PG,UNGRPS,0
2014,1,PG,UNSENPG,0
2014,2,AF,ANAR,0
2014,2,AF,CAPY2,0
2014,2,AF,CEDA,0
2014,2,AF,CEGL2,0
2014,2,AF,CESO3,0
2014,2,AF,COCA5,0
2014,2,AF,CRSE11,0
2014,2,AF,EPBR3,0
2014,2,AF,ERBO,7.16
2014,2,AF,ERCI6,0
2014,2,AF,GEDI,11.56
2014,2,AF,HECOL3,0
2014,2,AF,HYGL2,0
2014,2,AF,KISP,0
2014,2,AF,LASE,0
2014,2,AF,LIHY3,0
2014,2,AF,LOGA2,0
2014,2,AF,MADI6,0
2014,2,AF,MAGR3,0
2014,2,AF,PAVI3,0
2014,2,AF,PIEC,0
2014,2,AF,PSLU6,0
2014,2,AF,SEVU,0
2014,2,AF,SOAS,0
2014,2,AF,TOAR,0
2014,2,AF,UNER,0
2014,2,AF,UNEU,0
2014,2,AF,UNFOA,0
2014,2,AF,UNGA,0
2014,2,AF,URPI,0
2014,2,AG,AICA,0
2014,2,AG,AVBA,143.4
2014,2,AG,AVFA,25.74
2014,2,AG,BRCO4,0
2014,2,AG,BRDI2,0
2014,2,AG,BRDI3,43.19
2014,2,AG,BRHO2,0.21
2014,2,AG,BRMA,0
2014,2,AG,BRMA3,0
2014,2,AG,BRMI2,0
2014,2,AG,GAPH2,0
2014,2,AG,HOMAG,0
2014,2,AG,JUBU,0
2014,2,AG,LOPEM2,0
2014,2,AG,UNAV,45.67
2014,2,AG,UNFE,0
2014,2,AG,UNGRA,21.94
2014,2,AG,UNHO,0
2014,2,AG,UNRS,0
2014,2,AG,UNSENAG,0
2014,2,AG,VUBR,0.43
2014,2,LITR,LITR,328.01
2014,2,MISC,BAPI,0
2014,2,MISC,GEMO2,0
2014,2,MISC,PIAT4,0
2014,2,MISC,QUAG,0
2014,2,MISC,QULO,0
2014,2,MISC,TODI,0
2014,2,MISC,UN,0
2014,2,MISC,UNAP,0
2014,2,MISC,UNAS,0
2014,2,MISC,UNBR,0
2014,2,MISC,UNFO,0
2014,2,MISC,UNGR,0
2014,2,MISC,UNSEN,0
2014,2,NF,LOPU3,0
2014,2,NF,MEPO3,0
2014,2,NF,TRDU2,0
2014,2,NF,TRHI4,0
2014,2,NF,TRSU3,0
2014,2,NF,UNLU,0
2014,2,NF,UNTR,0
2014,2,NF,VISA,0
2014,2,NF,VITE,0
2014,2,PF,CAOV4,0
2014,2,PF,CIVU,0
2014,2,PF,COAR4,0
2014,2,PF,CRVET,0
2014,2,PF,DISA9,0
2014,2,PF,PLLA,0
2014,2,PF,PSCA13,0
2014,2,PF,RUAC3,0
2014,2,PF,RUCR,0
2014,2,PF,SIBE,0
2014,2,PF,UNPL,0
2014,2,PF,UNRU,0
2014,2,PF,WYAN,0
2014,2,PG,DACA3,0
2014,2,PG,DACA3_S,0
2014,2,PG,ELGL,0
2014,2,PG,ELGL_S,0
2014,2,PG,ELMU3,0
2014,2,PG,NAPU4,0
2014,2,PG,NAPU4_S,0
2014,2,PG,PHAQ,0
2014,2,PG,UNGRP,0
2014,2,PG,UNGRPS,0
2014,2,PG,UNSENPG,0
2014,3,AF,ANAR,0
2014,3,AF,CAPY2,0
2014,3,AF,CEDA,0
2014,3,AF,CEGL2,0
2014,3,AF,CESO3,0
2014,3,AF,COCA5,0
2014,3,AF,CRSE11,0
2014,3,AF,EPBR3,0
2014,3,AF,ERBO,323.05
2014,3,AF,ERCI6,0
2014,3,AF,GEDI,0
2014,3,AF,HECOL3,0
2014,3,AF,HYGL2,0
2014,3,AF,KISP,0
2014,3,AF,LASE,0
2014,3,AF,LIHY3,0
2014,3,AF,LOGA2,0
2014,3,AF,MADI6,0
2014,3,AF,MAGR3,0
2014,3,AF,PAVI3,0
2014,3,AF,PIEC,0
2014,3,AF,PSLU6,0
2014,3,AF,SEVU,0
2014,3,AF,SOAS,0
2014,3,AF,TOAR,0
2014,3,AF,UNER,0
2014,3,AF,UNEU,0
2014,3,AF,UNFOA,0
2014,3,AF,UNGA,0
2014,3,AF,URPI,0
2014,3,AG,AICA,0
2014,3,AG,AVBA,164.68
2014,3,AG,AVFA,6.31
2014,3,AG,BRCO4,0
2014,3,AG,BRDI2,0
2014,3,AG,BRDI3,30.99
2014,3,AG,BRHO2,0
2014,3,AG,BRMA,0
2014,3,AG,BRMA3,0
2014,3,AG,BRMI2,0
2014,3,AG,GAPH2,0
2014,3,AG,HOMAG,0
2014,3,AG,JUBU,0
2014,3,AG,LOPEM2,0
2014,3,AG,UNAV,5.82
2014,3,AG,UNFE,0
2014,3,AG,UNGRA,74.68
2014,3,AG,UNHO,0
2014,3,AG,UNRS,0
2014,3,AG,UNSENAG,0
2014,3,AG,VUBR,0
2014,3,LITR,LITR,82.77
2014,3,MISC,BAPI,0
2014,3,MISC,GEMO2,0
2014,3,MISC,PIAT4,0
2014,3,MISC,QUAG,0
2014,3,MISC,QULO,0
2014,3,MISC,TODI,0
2014,3,MISC,UN,0
2014,3,MISC,UNAP,0
2014,3,MISC,UNAS,0
2014,3,MISC,UNBR,0
2014,3,MISC,UNFO,0
2014,3,MISC,UNGR,0
2014,3,MISC,UNSEN,0
2014,3,NF,LOPU3,0
2014,3,NF,MEPO3,0
2014,3,NF,TRDU2,0
2014,3,NF,TRHI4,0
2014,3,NF,TRSU3,0
2014,3,NF,UNLU,0
2014,3,NF,UNTR,0
2014,3,NF,VISA,3.76
2014,3,NF,VITE,0
2014,3,PF,CAOV4,0
2014,3,PF,CIVU,0
2014,3,PF,COAR4,0
2014,3,PF,CRVET,0
2014,3,PF,DISA9,0
2014,3,PF,PLLA,0
2014,3,PF,PSCA13,0
2014,3,PF,RUAC3,0
2014,3,PF,RUCR,0
2014,3,PF,SIBE,0
2014,3,PF,UNPL,0
2014,3,PF,UNRU,0
2014,3,PF,WYAN,0
2014,3,PG,DACA3,0
2014,3,PG,DACA3_S,0
2014,3,PG,ELGL,0
2014,3,PG,ELGL_S,0
2014,3,PG,ELMU3,0
2014,3,PG,NAPU4,0
2014,3,PG,NAPU4_S,0
2014,3,PG,PHAQ,0
2014,3,PG,UNGRP,0
2014,3,PG,UNGRPS,0
2014,3,PG,UNSENPG,0
2014,4,AF,ANAR,0
2014,4,AF,CAPY2,0
2014,4,AF,CEDA,0
2014,4,AF,CEGL2,0
2014,4,AF,CESO3,0
2014,4,AF,COCA5,0
2014,4,AF,CRSE11,0
2014,4,AF,EPBR3,0
2014,4,AF,ERBO,0
2014,4,AF,ERCI6,0
2014,4,AF,GEDI,0.35
2014,4,AF,HECOL3,0
2014,4,AF,HYGL2,0
2014,4,AF,KISP,0
2014,4,AF,LASE,0
2014,4,AF,LIHY3,0
2014,4,AF,LOGA2,0
2014,4,AF,MADI6,0
2014,4,AF,MAGR3,0
2014,4,AF,PAVI3,0
2014,4,AF,PIEC,0
2014,4,AF,PSLU6,0
2014,4,AF,SEVU,0
2014,4,AF,SOAS,0
2014,4,AF,TOAR,0
2014,4,AF,UNER,0
2014,4,AF,UNEU,0
2014,4,AF,UNFOA,0
2014,4,AF,UNGA,0
2014,4,AF,URPI,0
2014,4,AG,AICA,0
2014,4,AG,AVBA,0
2014,4,AG,AVFA,0
2014,4,AG,BRCO4,0
2014,4,AG,BRDI2,0
2014,4,AG,BRDI3,108.58
2014,4,AG,BRHO2,0
2014,4,AG,BRMA,0
2014,4,AG,BRMA3,0
2014,4,AG,BRMI2,0
2014,4,AG,GAPH2,0
2014,4,AG,HOMAG,0
2014,4,AG,JUBU,0
2014,4,AG,LOPEM2,0
2014,4,AG,UNAV,0
2014,4,AG,UNFE,0
2014,4,AG,UNGRA,68.87
2014,4,AG,UNHO,0
2014,4,AG,UNRS,0
2014,4,AG,UNSENAG,0
2014,4,AG,VUBR,0
2014,4,LITR,LITR,645.21
2014,4,MISC,BAPI,0
2014,4,MISC,GEMO2,0
2014,4,MISC,PIAT4,0
2014,4,MISC,QUAG,0
2014,4,MISC,QULO,0
2014,4,MISC,TODI,0
2014,4,MISC,UN,0
2014,4,MISC,UNAP,0
2014,4,MISC,UNAS,0
2014,4,MISC,UNBR,0
2014,4,MISC,UNFO,0
2014,4,MISC,UNGR,0
2014,4,MISC,UNSEN,26.98
2014,4,NF,LOPU3,0
2014,4,NF,MEPO3,0
2014,4,NF,TRDU2,0
2014,4,NF,TRHI4,0
2014,4,NF,TRSU3,0
2014,4,NF,UNLU,0
2014,4,NF,UNTR,0
2014,4,NF,VISA,1.56
2014,4,NF,VITE,0
2014,4,PF,CAOV4,0
2014,4,PF,CIVU,0
2014,4,PF,COAR4,0
2014,4,PF,CRVET,0
2014,4,PF,DISA9,0
2014,4,PF,PLLA,0
2014,4,PF,PSCA13,0
2014,4,PF,RUAC3,0
2014,4,PF,RUCR,0
2014,4,PF,SIBE,0
2014,4,PF,UNPL,0
2014,4,PF,UNRU,0
2014,4,PF,WYAN,0
2014,4,PG,DACA3,0
2014,4,PG,DACA3_S,0
2014,4,PG,ELGL,0
2014,4,PG,ELGL_S,0
2014,4,PG,ELMU3,0
2014,4,PG,NAPU4,13.9
2014,4,PG,NAPU4_S,0
2014,4,PG,PHAQ,0
2014,4,PG,UNGRP,0
2014,4,PG,UNGRPS,0
2014,4,PG,UNSENPG,0
2014,5,AF,ANAR,0
2014,5,AF,CAPY2,0
2014,5,AF,CEDA,0
2014,5,AF,CEGL2,0
2014,5,AF,CESO3,0
2014,5,AF,COCA5,0
2014,5,AF,CRSE11,0
2014,5,AF,EPBR3,0
2014,5,AF,ERBO,13.4
2014,5,AF,ERCI6,0
2014,5,AF,GEDI,29.29
2014,5,AF,HECOL3,0
2014,5,AF,HYGL2,0
2014,5,AF,KISP,0
2014,5,AF,LASE,0
2014,5,AF,LIHY3,0
2014,5,AF,LOGA2,0
2014,5,AF,MADI6,0
2014,5,AF,MAGR3,0
2014,5,AF,PAVI3,0
2014,5,AF,PIEC,0
2014,5,AF,PSLU6,0
2014,5,AF,SEVU,0
2014,5,AF,SOAS,0
2014,5,AF,TOAR,0
2014,5,AF,UNER,0
2014,5,AF,UNEU,0
2014,5,AF,UNFOA,0
2014,5,AF,UNGA,0
2014,5,AF,URPI,0
2014,5,AG,AICA,0
2014,5,AG,AVBA,0
2014,5,AG,AVFA,0
2014,5,AG,BRCO4,0
2014,5,AG,BRDI2,14.33
2014,5,AG,BRDI3,0
2014,5,AG,BRHO2,0
2014,5,AG,BRMA,0
2014,5,AG,BRMA3,0
2014,5,AG,BRMI2,0
2014,5,AG,GAPH2,0
2014,5,AG,HOMAG,0
2014,5,AG,JUBU,0
2014,5,AG,LOPEM2,0
2014,5,AG,UNAV,0
2014,5,AG,UNFE,0
2014,5,AG,UNGRA,16.74
2014,5,AG,UNHO,0
2014,5,AG,UNRS,0
2014,5,AG,UNSENAG,0
2014,5,AG,VUBR,0
2014,5,LITR,LITR,472.06
2014,5,MISC,BAPI,0
2014,5,MISC,GEMO2,0
2014,5,MISC,PIAT4,0
2014,5,MISC,QUAG,0
2014,5,MISC,QULO,0
2014,5,MISC,TODI,0
2014,5,MISC,UN,0
2014,5,MISC,UNAP,0
2014,5,MISC,UNAS,0
2014,5,MISC,UNBR,0
2014,5,MISC,UNFO,0
2014,5,MISC,UNGR,0
2014,5,MISC,UNSEN,0
2014,5,NF,LOPU3,0
2014,5,NF,MEPO3,0
2014,5,NF,TRDU2,0
2014,5,NF,TRHI4,0
2014,5,NF,TRSU3,0
2014,5,NF,UNLU,0
2014,5,NF,UNTR,0
2014,5,NF,VISA,0
2014,5,NF,VITE,0
2014,5,PF,CAOV4,8.09
2014,5,PF,CIVU,0
2014,5,PF,COAR4,0
2014,5,PF,CRVET,2.48
2014,5,PF,DISA9,0
2014,5,PF,PLLA,0
2014,5,PF,PSCA13,0
2014,5,PF,RUAC3,0
2014,5,PF,RUCR,0
2014,5,PF,SIBE,0
2014,5,PF,UNPL,0
2014,5,PF,UNRU,0
2014,5,PF,WYAN,0
2014,5,PG,DACA3,0
2014,5,PG,DACA3_S,0
2014,5,PG,ELGL,0
