#SampleID	id
F_GCE1	1
F_GCE2	2
F_GCE3	3
F_GCE4	4
F_GCE5	5
F_GCE6	6
F_GCE7	7
F_GCE8	8
F_GCE9	9
F_GCE10	10
F_GCE11	11
F_GCE12	12
F_GCE13	13
F_GCE14	14
F_GCE15	15
F_GCE16	16
F_GCE17	17
F_GCE18	18
F_GCE19	19
F_GCE20	20
F_GCE21	21
F_GCE22	22
F_GCE23	23
F_GCE24	24
F_GCE25	25
F_GCE26	26
F_GCE27	27
F_GCE28	28
F_GCE29	29
F_GCE30	30
F_GCE31	31
F_GCE32	32
F_GCE33	33
F_GCE34	34
F_GCE35	35
F_GCE36	36
F_GCE37	37
F_GCE38	38
F_GCE39	39
F_GCE40	40
F_GCE41	41
F_GCE42	42
F_GCE43	43
F_GCE44	44
F_GCE45	45
F_GCE46	46
F_GCE47	47
F_GCE48	48
F_GCE49	49
F_GCE50	50
F_GCE51	51
F_GCE52	52
F_GCE53	53
F_GCE54	54
F_GCE55	55
F_GCE56	56
F_GCE57	57
F_GCE58	58
F_GCE59	59
F_GCE60	60
F_GCE61	61
F_GCE62	62
F_GCE63	63
F_GCE64	64
F_GCE65	65
F_GCE66	66
F_GCE67	67
F_GCE68	68
F_GCE69	69
F_GCE70	70
F_GCE71	71
F_GCE72	72
F_GCE73	73
F_GCE74	74
F_GCE75	75
F_GCE76	76
F_GCE77	77
F_GCE78	78
F_GCE79	79
F_GCE80	80
F_GCE81	81
F_GCE82	82
F_GCE83	83
F_GCE84	84
F_GCE85	85
F_GCE86	86
F_GCE87	87
F_GCE88	88
F_GCE89	89
F_GCE90	90
F_GCE91	91
F_GCE92	92
F_GCE93	93
F_GCE94	94
F_GCE95	95
F_GCE96	96
F_GCE97	97
F_GCE98	98
F_GCE99	99
F_GCE100	100
F_GCE101	101
F_GCE102	102
F_GCE103	103
F_GCE104	104
F_GCE105	105
F_GCE106	106
F_GCE107	107
F_GCE108	108
F_GCE109	109
F_GCE110	110
F_GCE111	111
F_GCE112	112
F_GCE113	113
F_GCE114	114
F_GCE115	115
F_GCE116	116
F_GCE117	117
F_GCE118	118
F_GCE119	119
F_GCE120	120
F_GCE121	121
F_GCE122	122
F_GCE123	123
F_GCE124	124
F_GCE125	125
F_GCE126	126
F_GCE127	127
F_GCE128	128
F_GCE129	129
F_GCE131	131
F_GCE134	134
F_GCE136	136
F_GCE137	137
F_GCE139	139
F_GCE142	142
F_GCE144	144
