id,plot,x,y,burn.blocks,quad,treatment.group,N,CO2,heat,precip,burn.2011,wildfire.2003,CE.batch,perc.N,perc.C,N.mg,C.mg,water.content,pH,NPP
1,1,23,4,S,1,1112,1,1,1,2,1,1,3,0.1061,1.0077,0.0172,0.1636,0.124,7.03,910.5984
2,1,23,4,S,2,2111,2,1,1,1,1,1,3,0.1396,1.4218,0.0228,0.2325,0.099,7.16,1153.9056
3,1,23,4,S,3,1111,1,1,1,1,1,1,3,0.1607,1.5682,0.0285,0.2784,0.145,7.04,1416.3016
4,1,23,4,S,4,2112,2,1,1,2,1,1,3,0.1372,1.3357,0.0231,0.2249,0.096,7.03,691.7074
5,2,28,2,S,1,2222,2,2,2,2,1,1,3,0.1595,1.6827,0.0287,0.3032,0.167,6.6,626.3606
6,2,28,2,S,2,2221,2,2,2,1,1,1,3,0.1765,1.8515,0.0302,0.3172,0.163,6.73,910.7542
7,2,28,2,S,3,1222,1,2,2,2,1,1,3,0.2881,3.0257,0.0271,0.285,0.119,6.24,700.897
8,2,28,2,S,4,1221,1,2,2,1,1,1,3,0.1629,1.6955,0.029,0.3015,0.153,6.41,958.6646
9,3,24,8,S,1,2121,2,1,2,1,1,1,3,0.1499,1.4397,0.0242,0.2324,0.145,7,657.1582
10,3,24,8,S,2,1122,1,1,2,2,1,1,4,0.1349,1.4431,0.0218,0.2328,0.149,6.36,735.5002
11,3,24,8,S,3,2122,2,1,2,2,1,1,4,0.1294,1.317,0.0238,0.2425,0.143,6.83,1080.539
12,3,24,8,S,4,1121,1,1,2,1,1,1,4,0.1268,1.4995,0.0221,0.2611,0.157,6.57,632.5358
13,4,28,5,S,1,2212,2,2,1,2,1,1,4,0.1494,1.7276,0.0249,0.2875,0.163,6.79,1080.39
14,4,28,5,S,2,2211,2,2,1,1,1,1,4,0.1598,1.7632,0.026,0.2863,0.143,6.65,872.3634
15,4,28,5,S,3,1211,1,2,1,1,1,1,4,0.1274,1.2396,0.0229,0.2226,0.12,6.08,796.9328
16,4,28,5,S,4,1212,1,2,1,2,1,1,4,0.1525,1.5032,0.0258,0.2539,0.159,6.55,640.8172
17,5,26,11,E,1,2111,2,1,1,1,1,1,1,0.164,1.6262,0.0294,0.2911,0.138,6.99,563.1976
18,5,26,11,E,2,1112,1,1,1,2,1,1,1,0.1361,1.1712,0.0251,0.216,0.172,6.91,616.6812
19,5,26,11,E,3,1111,1,1,1,1,1,1,1,0.1431,1.2038,0.0261,0.2193,0.16,6.8,571.8588
20,5,26,11,E,4,2112,2,1,1,2,1,1,3,0.1414,1.463,0.0243,0.2514,0.138,7.29,616.1574
21,6,28,9,E,1,2122,2,1,2,2,1,1,3,0.1337,1.3271,0.0225,0.2235,0.183,6.9,820.1498
22,6,28,9,E,2,1121,1,1,2,1,1,1,3,0.1305,1.4208,0.021,0.2282,0.145,6.64,603.285
23,6,28,9,E,3,1122,1,1,2,2,1,1,3,0.1092,1.0592,0.0202,0.1954,0.161,6.83,584.2118
24,6,28,9,E,4,2121,2,1,2,1,1,1,3,0.1537,1.6285,0.0269,0.2851,0.163,7,695.4984
25,7,30,7,E,1,2212,2,2,1,2,2,1,4,0.1687,1.6559,0.0299,0.2933,0.081,7.04,857.72
26,7,30,7,E,2,2211,2,2,1,1,2,1,3,0.1521,1.5367,0.0254,0.2569,0.168,6.57,521.8902
27,7,30,7,E,3,1212,1,2,1,2,2,1,4,0.153,1.4929,0.0259,0.2526,0.195,6.46,502.2932
28,7,30,7,E,4,1211,1,2,1,1,2,1,3,0.1386,1.5139,0.0247,0.2695,0.168,6.24,978.1788
29,8,31,5,E,1,1112,1,1,1,2,2,1,3,0.1369,1.4135,0.0234,0.2418,0.14,6.9,1067.8456
30,8,31,5,E,2,1111,1,1,1,1,2,1,3,0.1268,1.4001,0.0206,0.2278,0.189,6.59,556.7022
31,8,31,5,E,3,2112,2,1,1,2,2,1,3,0.151,1.5866,0.0285,0.2992,0.195,6.95,812.509
32,8,31,5,E,4,2111,2,1,1,1,2,1,3,0.146,1.5598,0.0249,0.2659,0.16,6.66,992.3222
33,9,32,4,E,1,2122,2,1,2,2,2,1,3,0.1464,1.5357,0.0278,0.2913,0.159,7.33,756.8086
34,9,32,4,E,2,1121,1,1,2,1,2,1,3,0.1353,1.3514,0.0233,0.2331,0.119,7.03,777.8354
35,9,32,4,E,3,2121,2,1,2,1,2,1,3,0.158,1.633,0.0268,0.2771,0.13,6.99,1186.3176
36,9,32,4,E,4,1122,1,1,2,2,2,1,3,0.1353,1.4033,0.0243,0.2523,0.148,7.2,924.3778
37,10,29,13,E,1,2211,2,2,1,1,1,1,3,0.1885,2.0045,0.0302,0.3213,0.171,6.89,1053.6776
38,10,29,13,E,2,2212,2,2,1,2,1,1,3,0.1247,1.2095,0.0201,0.1949,0.16,6.93,1065.3938
39,10,29,13,E,3,1212,1,2,1,2,1,1,3,0.135,1.3014,0.0222,0.2141,0.151,6.54,764.776
40,10,29,13,E,4,1211,1,2,1,1,1,1,3,0.1284,1.4417,0.0254,0.2849,0.152,6.28,702.4592
41,11,30,12,E,1,1222,1,2,2,2,1,1,3,0.11,1.0458,0.021,0.1992,0.134,6.76,913.9756
42,11,30,12,E,2,1221,1,2,2,1,1,1,3,0.1199,1.1881,0.0209,0.2066,0.126,6.36,762.6376
43,11,30,12,E,3,2221,2,2,2,1,1,1,3,0.1343,1.3414,0.0259,0.2582,0.136,6.72,615.8474
44,11,30,12,E,4,2222,2,2,2,2,1,1,3,0.1149,1.0862,0.0193,0.1827,0.13,7.24,899.3702
45,12,32,8,E,1,2221,2,2,2,1,2,1,3,0.1394,1.3884,0.0242,0.2406,0.159,7.45,832.2868
46,12,32,8,E,2,2222,2,2,2,2,2,1,3,0.1515,1.5837,0.0251,0.2623,0.166,7.28,1658.7906
47,12,32,8,E,3,1221,1,2,2,1,2,1,3,0.1213,1.2271,0.0207,0.2092,0.134,6.66,698.838
48,12,32,8,E,4,1222,1,2,2,2,2,1,3,0.143,1.5041,0.0237,0.2494,0.157,6.86,728.9658
49,13,20,4,S,1,2211,2,2,1,1,2,2,1,0.1971,1.6179,0.0332,0.2723,0.127,7.15,637.999
50,13,20,4,S,2,1211,1,2,1,1,2,2,1,0.1736,1.3374,0.0295,0.2275,0.161,6.87,1398.9938
51,13,20,4,S,3,2212,2,2,1,2,2,2,1,0.1787,1.52,0.0356,0.3031,0.161,7.04,717.2548
52,13,20,4,S,4,1212,1,2,1,2,2,2,1,0.1748,1.3769,0.0302,0.2379,0.156,6.94,425.4474
53,14,22,8,S,1,1221,1,2,2,1,2,2,1,0.1681,1.3027,0.0298,0.2311,0.157,6.73,365.6246
54,14,22,8,S,2,2221,2,2,2,1,2,2,1,0.1716,1.3892,0.03,0.2428,0.142,6.71,691.8852
55,14,22,8,S,3,1222,1,2,2,2,2,2,1,0.1791,1.5049,0.0299,0.2509,0.2,6.69,937.2952
56,14,22,8,S,4,2222,2,2,2,2,2,2,1,0.1907,1.6348,0.0323,0.2771,0.178,6.88,1265.053
57,15,13,11,N,1,1221,1,2,2,1,2,2,2,0.1192,1.1829,0.0205,0.2036,0.151,6.37,345.666
58,15,13,11,N,2,1222,1,2,2,2,2,2,2,0.1243,1.3032,0.0217,0.2278,0.157,6.81,994.0062
59,15,13,11,N,3,2221,2,2,2,1,2,2,2,0.144,1.7221,0.0255,0.305,0.133,7.37,531.3224
60,15,13,11,N,4,2222,2,2,2,2,2,2,2,0.1345,1.4083,0.0219,0.2291,0.155,6.9,1347.4522
61,16,25,14,N,1,2121,2,1,2,1,2,2,2,0.1195,1.1914,0.0213,0.2122,0.133,6.54,1107.6906
62,16,25,14,N,2,2122,2,1,2,2,2,2,2,0.1562,1.5769,0.0262,0.2641,0.198,6.7,1546.283
63,16,25,14,N,3,1121,1,1,2,1,2,2,2,0.1145,1.0633,0.0207,0.1922,0.119,6.3,644.456
64,16,25,14,N,4,1122,1,1,2,2,2,2,4,0.1317,1.2611,0.0237,0.2271,0.152,6.56,709.7322
65,17,22,15,N,1,1112,1,1,1,2,2,2,4,0.1377,1.4099,0.024,0.2456,0.115,6.86,414.215
66,17,22,15,N,2,1111,1,1,1,1,2,2,3,0.1421,1.5264,0.0252,0.2703,0.147,6.53,554.6996
67,17,22,15,N,3,2112,2,1,1,2,2,2,3,0.1463,1.4774,0.0281,0.284,0.121,7.09,1329.2628
68,17,22,15,N,4,2111,2,1,1,1,2,2,3,0.1504,1.5546,0.0266,0.2749,0.121,6.55,1467.1702
69,18,20,15,N,1,2211,2,2,1,1,2,2,3,0.1931,2.1797,0.0327,0.3692,0.17,6.7,1693.2286
70,18,20,15,N,2,1211,1,2,1,1,2,2,4,#N/A,#N/A,0.0249,0.2717,0.122,6.42,864.9006
71,18,20,15,N,3,1212,1,2,1,2,2,2,3,0.1397,1.5232,0.0268,0.3091,0.161,6.75,779.401
72,18,20,15,N,4,2212,2,2,1,2,2,2,3,0.1621,1.8668,0.0252,0.2572,0.157,7.16,1192.7728
73,19,17,15,N,1,1222,1,2,2,2,1,1,3,0.132,1.3496,0.0241,0.2205,0.14,6.83,592.313
74,19,17,15,N,2,2222,2,2,2,2,1,1,3,0.141,1.2912,0.0312,0.3665,0.135,6.82,1644.1726
75,19,17,15,N,3,2221,2,2,2,1,1,1,3,0.1898,2.2322,0.0224,0.244,0.13,6.89,1127.2524
76,19,17,15,N,4,1221,1,2,2,1,1,1,3,0.1318,1.4343,0.0241,0.2911,0.109,6.5,551.567
77,20,15,15,N,1,2122,2,1,2,2,1,1,3,0.1384,1.6713,0.0297,0.202,0.11,7.21,1112.745
78,20,15,15,N,2,1122,1,1,2,2,1,1,1,0.1649,1.1211,0.0315,0.227,0.121,7.1,624.2944
79,20,15,15,N,3,1121,1,1,2,1,1,1,1,0.1688,1.2158,0.0363,0.289,0.115,6.9,946.0002
80,20,15,15,N,4,2121,2,1,2,1,1,1,1,0.1949,1.5536,0.0355,0.3016,0.114,6.87,1217.6868
81,21,13,16,N,1,1212,1,2,1,2,1,1,1,0.1901,1.6152,0.0316,0.2814,0.178,7.11,472.486
82,21,13,16,N,2,1211,1,2,1,1,1,1,1,0.1921,1.7086,0.0371,0.2989,0.153,6.66,717.1526
