id,plot,x,y,burn.blocks,quad,treatment.group,N,CO2,heat,precip,burn.2011,wildfire.2003,CE.batch,perc.N,perc.C,N.mg,C.mg,water.content,pH,NPP
83,21,13,16,N,3,2211,2,2,1,1,1,1,1,0.2173,1.7512,0.0317,0.2463,0.183,7.25,565.1678
84,21,13,16,N,4,2212,2,2,1,2,1,1,1,0.1758,1.3659,0.0342,0.3768,0.167,7.16,1114.442
85,22,12,19,W,1,2122,2,1,2,2,1,1,1,0.189,2.0819,0.0343,0.3058,0.12,7.23,1035.8914
86,22,12,19,W,2,1121,1,1,2,1,1,1,1,0.1951,1.7414,0.0284,0.245,0.095,6.8,368.1156
87,22,12,19,W,3,1122,1,1,2,2,1,1,1,0.1737,1.5006,0.0315,0.2875,0.13,6.94,857.6948
88,22,12,19,W,4,2121,2,1,2,1,1,1,1,0.1734,1.5814,0.0313,0.25,0.085,6.87,1069.658
89,23,9,20,W,1,2111,2,1,1,1,1,1,1,0.1862,1.4852,0.0303,0.2741,0.145,6.94,956.4156
90,23,9,20,W,2,1111,1,1,1,1,1,1,1,0.1824,1.6482,0.0278,0.2484,0.129,6.51,710.6644
91,23,9,20,W,3,1112,1,1,1,2,1,1,1,0.1651,1.4731,0.0326,0.2712,0.148,6.94,793.536
92,23,9,20,W,4,2112,2,1,1,2,1,1,1,0.1892,1.572,0.041,0.36,0.131,7.23,925.2254
93,24,9,22,W,1,2222,2,2,2,2,1,1,1,0.2189,1.9221,0.0361,0.3299,0.166,7.04,590.3914
94,24,9,22,W,2,1221,1,2,2,1,1,1,1,0.218,1.9899,0.0396,0.3354,0.147,6.63,857.5108
95,24,9,22,W,3,2221,2,2,2,1,1,1,1,0.2259,1.9124,0.035,0.3387,0.095,6.9,470.6778
96,24,9,22,W,4,1222,1,2,2,2,1,1,1,0.2001,1.9377,0.0406,0.3188,0.136,7.2,507.333
97,25,8,24,W,1,1212,1,2,1,2,1,1,1,0.2189,1.7187,0.0396,0.3423,0.209,6.73,656.143
98,25,8,24,W,2,2211,2,2,1,1,1,1,1,0.2228,1.9254,0.0385,0.3051,0.189,7.16,659.6882
99,25,8,24,W,3,2212,2,2,1,2,1,1,1,0.2134,1.6934,0.0431,0.362,0.161,6.74,867.8314
100,25,8,24,W,4,1211,1,2,1,1,1,1,1,0.2394,2.0099,0.0295,0.2319,0.206,7.11,430.7382
101,26,17,10,S,1,2122,2,1,2,2,2,2,1,0.1685,1.3231,0.0302,0.2455,0.117,7.27,605.4784
102,26,17,10,S,2,1122,1,1,2,2,2,2,1,0.1721,1.4003,0.0272,0.2258,0.163,7.16,664.9354
103,26,17,10,S,3,1121,1,1,2,1,2,2,1,0.14,1.1609,0.0309,0.2454,0.103,7.14,422.8098
104,26,17,10,S,4,2121,2,1,2,1,2,2,1,0.1812,1.4403,0.0257,0.2299,0.115,6.94,964.8412
105,27,2,15,W,1,2111,2,1,1,1,2,1,4,0.1346,1.2022,0.0251,0.23,0.125,6.86,1205.4328
106,27,2,15,W,2,2112,2,1,1,2,2,1,4,0.146,1.3386,0.0248,0.2192,0.181,7.3,611.8292
107,27,2,15,W,3,1111,1,1,1,1,2,1,4,0.1528,1.3522,0.023,0.183,0.156,6.9,566.0924
108,27,2,15,W,4,1112,1,1,1,2,2,1,4,0.1349,1.0746,0.0272,0.2558,0.136,6.87,664.6344
109,28,5,15,W,1,1211,1,2,1,1,2,1,4,0.1449,1.3628,0.0309,0.321,0.129,6.98,472.2388
110,28,5,15,W,2,1212,1,2,1,2,2,1,4,0.1779,1.848,0.0288,0.2682,0.178,6.79,537.8346
111,28,5,15,W,3,2211,2,2,1,1,2,1,4,0.1712,1.5948,0.0307,0.2814,0.161,6.58,525.5014
112,28,5,15,W,4,2212,2,2,1,2,2,1,4,0.1735,1.5899,0.0292,0.2743,0.174,6.82,611.6722
113,29,8,15,W,1,1221,1,2,2,1,2,1,4,0.1549,1.4559,0.0291,0.268,0.149,6.5,691.718
114,29,8,15,W,2,2222,2,2,2,2,2,1,4,0.1671,1.5391,0.023,0.2587,0.193,6.5,411.8042
115,29,8,15,W,3,2221,2,2,2,1,2,1,2,0.1345,1.5111,0.0251,0.2782,0.143,6.79,594.6102
116,29,8,15,W,4,1222,1,2,2,2,2,1,2,0.1483,1.644,0.021,0.2502,0.172,6.59,1338.9592
117,30,12,10,W,1,1122,1,1,2,2,2,1,2,0.1217,1.4497,0.0252,0.2645,0.175,6.6,1169.5018
118,30,12,10,W,2,2122,2,1,2,2,2,1,2,0.1428,1.4986,0.0235,0.2756,0.185,7.04,580.172
119,30,12,10,W,3,2121,2,1,2,1,2,1,2,0.1403,1.6462,0.0193,0.2078,0.171,6.99,552.6074
120,30,12,10,W,4,1121,1,1,2,1,2,1,2,0.1189,1.2809,0.031,0.248,0.109,6.79,761.4148
121,31,15,11,N,1,2112,2,1,1,2,1,1,1,0.1707,1.3656,0.0352,0.3064,0.112,7.07,778.0248
122,31,15,11,N,2,2111,2,1,1,1,1,1,1,0.1916,1.6682,0.0318,0.2431,0.135,7.09,553.8996
123,31,15,11,N,3,1112,1,1,1,2,1,1,1,0.1789,1.3678,0.0303,0.2414,0.163,6.79,382.0752
124,31,15,11,N,4,1111,1,1,1,1,1,1,1,0.1638,1.3063,0.0295,0.221,0.133,7.06,714.011
125,32,14,8,S,1,1111,1,1,1,1,2,2,1,0.1644,1.2317,0.0283,0.2061,0.135,6.74,774.8
126,32,14,8,S,2,2112,2,1,1,2,2,2,1,0.1522,1.1068,0.0277,0.2057,0.136,6.82,554.1234
127,32,14,8,S,3,1112,1,1,1,2,2,2,1,0.1468,1.0898,0.0297,0.2601,0.166,6.05,346.902
128,32,14,8,S,4,2111,2,1,1,1,2,2,1,0.1848,1.6187,0.0232,0.2581,0.133,7.36,781.7286
129,33,25,6,S,1,1111,1,1,1,1,1,1,2,0.1236,1.3722,0.0213,0.2017,0.149,6.61,522.6364
131,33,25,6,S,3,1111,1,1,1,1,1,1,3,0.1183,1.1205,0.0271,0.211,0.107,6.71,740.0642
134,34,16,8,S,2,1111,1,1,1,1,2,2,1,0.1407,1.0947,0.0274,0.2339,0.106,6.68,520.1606
136,34,16,8,S,4,1111,1,1,1,1,2,2,1,0.1459,1.247,0.0307,0.225,0.093,6.55,780.5038
137,35,13,13,N,1,1111,1,1,1,1,1,1,1,0.1762,1.2899,0.0304,0.2597,0.121,6.66,873.8798
139,35,13,13,N,3,1111,1,1,1,1,1,1,1,0.1604,1.3691,0.0234,0.2552,0.13,6.71,620.6926
142,36,13,20,W,2,1111,1,1,1,1,1,1,1,0.1704,1.4714,0.0329,0.2838,0.13,6.99,613.1278
144,36,13,20,W,4,1111,1,1,1,1,1,1,1,0.1652,1.7163,0.0302,0.3136,0.12,6.99,384.385
