SPECIES_CODE,FAMILY_CODE,NATIVE_CODE,HARVEST_CODE,USDA.CODE,Probable.USDA.equivalent,Species.or.unit.name,Earlier.or.other.species.name,Family.TJM2,Genus,Taxonomic.level,Functional..group,Seasonality,Note.
AICA,POA,I,INDIV,AICA,,Aira caryophyllea,,Poaceae,Aira,species,annual grass,annual ,
ANAR,MYR,I,INDIV,ANAR,,Anagallis arvensis,,Myrsinaceae,Anagallis,species,"annual forb, minus N-fixers",annual ,"USDA puts in family Primulaceae and considers annual or biennial, but it does not appear to perennate at JRBP"
AVBA,POA,I,INDIV,AVBA,,Avena barbata,,Poaceae,Avena,species,annual grass,annual ,
AVFA,POA,I,INDIV,AVFA,,Avena fatua,,Poaceae,Avena,species,annual grass,annual ,
BAPI,AST,N,INDIV,BAPI,,Baccharis pilularis ssp. consanguinea,,Asteraceae,Baccharis,species,perennial woody,perennial ,
BRCO4,POA,I,INDIV,BRCO4,,Bromus commutatus,"Bromus japonicus, B. racemosus (?)",Poaceae,Bromus,species,annual grass,annual ,Taxonomy complicated and contradictory.  
BRDI2,POA,I,INDIV,BRDI2,,Brachypodium distachyon,,Poaceae,Brachypodium,species,annual grass,annual ,
BRDI3,POA,I,INDIV,BRDI3,,Bromus diandrus,,Poaceae,Bromus,species,annual grass,annual ,
BRHO2,POA,I,INDIV,BRHO2,,Bromus hordeaceus,Bromus mollis,Poaceae,Bromus,species,annual grass,annual ,
BRMA,POA,I,INDIV,BRMA,,Briza maxima,,Poaceae,Briza,species,annual grass,annual ,First appeared in JRGCE plots in 2006
BRMA3,POA,I,INDIV,BRMA3,,Bromus madritensis,,Poaceae,Bromus,species,annual grass,annual ,First found in JRGCE in 2011 in plot 1-4
BRMI2,POA,I,INDIV,BRMI2,,Briza minor,,Poaceae,Briza,species,annual grass,annual ,
CAOV4,ONA,N,PART,,CAOV4,Taraxia ovata,Camissonia ovata; Oenothera ovata,Onagraceae,Taraxia,species,perennial forb,perennial ,CalFlora does not specify or link directly to USDA name/code.
CAPY2,AST,I,INDIV,CAPY2,,Carduus pycnocephalus ssp. pycnocephalus,,Asteraceae,Carduus,species,"annual forb, minus N-fixers",annual ,
CEDA,GEN,N,INDIV,CEDA,,Zeltnera davyi,Centaurium davyi,Gentianaceae,Zeltnera,species,"annual forb, minus N-fixers",annual ,
CEGL2,CAR,I,INDIV,CEGL2,,Cerastium glomeratum,,Caryophyllaceae,Cerastium,species,"annual forb, minus N-fixers",annual ,First found in plot 11 in 2011 during species sort of H1. 
CESO3,AST,I,INDIV,CESO3,,Centaurea solstitialis,,Asteraceae,Centaurea,species,"annual forb, minus N-fixers",annual ,
CIVU,AST,I,PART,CIVU,,Cirsium vulgare,,Asteraceae,Cirsium,species,perennial forb,perennial ,
COAR4,CON,I,PART,COAR4,,Convolvulus arvensis,,Convolvulaceae,Convolvulus,species,perennial forb,perennial ,
COCA5,AST,N,INDIV,COCA5,,Erigeron canadensis,Conyza canadensis,Asteraceae,Erigeron,species,"annual forb, minus N-fixers",annual ,USDA considers this annual/biennial; typically annual at JR.  CalFlora says that the equivalent USDA plant is Conyza canadensis var. canadensis (COCAC3)
CRSE11,EUP,N,INDIV,CRSE11,,Croton setigerus,Eremocarpus setigerus,Euphorbiaceae,Croton,species,"annual forb, minus N-fixers",annual ,"Found outside plots, sometimes in substantial numbers"
CRVET,AST,I,PART,CRVET,,CrepisËvesicaria ssp. taraxacifolia,,Asteraceae,Crepis,species,perennial forb,perennial ,"can be annual, biennial, or perennial but lives >1 year at Jasper Ridge so treated as perennial."
DACA3,POA,N,PART,DACA3,,Danthonia californica,,Poaceae,Danthonia,species,perennial grass,perennial ,
DACA3_S,POA,N,INDIV,DACA3,,Danthonia californica (seedling),,Poaceae,Danthonia,species,perennial grass,perennial ,
DISA9,DIP,I,PART,DISA9,,Dipsacus sativus,,Dipsacaceae,Dipsacus,species,perennial forb,perennial ,
ELGL,POA,N,PART,ELGL,,Elymus glaucus,,Poaceae,Elymus,species,perennial grass,perennial ,
ELGL_S,POA,N,INDIV,ELGL,,Elymus glaucus (seedling),,Poaceae,Elymus,species,perennial grass,perennial ,
ELMU3,POA,N,PART,ELMU3,,Elymus multisetus,,Poaceae,Elymus,species,perennial grass,perennial ,
EPBR3,ONA,N,INDIV,EPBR3,,Epilobium brachycarpum,,Onagraceae,Epilobium,species,"annual forb, minus N-fixers",annual ,
ERBO,GER,I,INDIV,ERBO,,Erodium botrys,,Geraniaceae,Erodium,species,"annual forb, minus N-fixers",annual ,USDA considers this annual/biennial; typically annual at JR.
ERCI6,GER,I,INDIV,ERCI6,,Erodium cicutarium,,Geraniaceae,Erodium,species,"annual forb, minus N-fixers",annual ,First found in JRGCE in 2011 in plot 5-3. ; USDA considers this annual/biennial; typically annual at JR.
GAPH2,POA,I,INDIV,GAPH2,,Gastridium phleoides,Gastridium ventricosum,Poaceae,Gastridium,species,annual grass,annual ,
GEDI,GER,I,INDIV,GEDI,,Geranium dissectum,,Geraniaceae,Geranium,species,"annual forb, minus N-fixers",annual ,USDA considers this annual/biennial;  typically annual at JR.
GEMO2,FAB,I,INDIV,GEMO2,,Genista monspessulana,,Fabaceae,Genista,species,perennial woody,perennial ,"Could be from seeds produced during experimental introductions in 2007-9, or could have dispersed in as invasives."
HECOL3,AST,N,INDIV,HECOL3,,Hemizonia congesta ssp. luzulifolia,,Asteraceae,Hemizonia,species,"annual forb, minus N-fixers",annual ,
HOMAG,POA,I,INDIV,HOMAG,,Hordeum marinum ssp. gussoneanum,Hordeum marinum,Poaceae,Hordeum,species,annual grass,annual ,
HYGL2,AST,I,INDIV,HYGL2,,Hypochaeris glabra,,Asteraceae,Hypochaeris,species,"annual forb, minus N-fixers",annual ,
JUBU,JUN,N,INDIV,JUBU,,Juncus bufonius,,Juncaceae,Juncus,species,annual grass,annual ,
KISP,PLA,I,INDIV,KISP,,Kickxia spuria,,Plantaginaceae,Kickxia,species,"annual forb, minus N-fixers",annual ,USDA puts this in Scrophulariaceae. 
LASE,AST,I,INDIV,LASE,,Lactuca serriola,,Asteraceae,Lactuca,species,"annual forb, minus N-fixers",annual ,USDA considers this annual/biennial; ours don't perennate.  
LIHY3,LYT,I,INDIV,LIHY3,,Lythrum hyssopifolia,Lythrum hyssopifolium,Lythraceae,Lythrum,species,"annual forb, minus N-fixers",annual ,"USDA uses the masc ending for the species name: Lythrum hyssopifolium.  First identified in JRGCE in 2005, but likely found in 2004"
LITR,UNID,U,PART,,,litter,,unidentified,NA,other,litter,NA,
LOGA2,AST,I,INDIV,LOGA2,,Logfia gallica,Filago gallica,Asteraceae,Logfia,species,"annual forb, minus N-fixers",annual ,
LOPEM2,POA,I,INDIV,,LOPEM2,Festuca perennis,Lolium multiflorum,Poaceae,Festuca,species,annual grass,annual ,typically annual at JRGCE; CalFlora does not specify or link directly to USDA name/code.
LOPU3,FAB,N,INDIV,,LOPU3,Acmispon americanus var. americanus,Lotus purshianus,Fabaceae,Acmispon,species,nitrogen fixer,nitrogen ,CalFlora does not specify or link directly to USDA name/code.
MADI6,AST,I,INDIV,MADI6,,Matricaria discoidea,Chamomilla suaveolens,Asteraceae,Matricaria,species,"annual forb, minus N-fixers",annual ,
MAGR3,AST,N,INDIV,MAGR3,,Madia gracilis,,Asteraceae,Madia,species,"annual forb, minus N-fixers",annual ,First found in the plots in 2009
MEPO3,FAB,I,INDIV,MEPO3,,Medicago polymorpha,,Fabaceae,Medicago,species,nitrogen fixer,nitrogen ,"Until 2006 Trifolium dubium was mis-identified as this Medicago species, which is common at Jasper Ridge but most likely not within JRGCE."
NAPU4,POA,N,PART,NAPU4,,Stipa pulchra,Nassella pulchra,Poaceae,Stipa,species,perennial grass,perennial ,
NAPU4_S,POA,N,INDIV,NAPU4,,Stipa pulchra (seedling),Nassella pulchra,Poaceae,Stipa,species,perennial grass,perennial ,
PAVI3,ORO,I,INDIV,PAVI3,,Parentucellia viscosa,,Orobanchaceae,Parentucellia,species,"annual forb, minus N-fixers",annual ,"USDA puts this in Scrophulariaceae. Plants found along the boardwalk near Plot 7 and 8 and elsewhere in 2011. Nona thought that a seedling found in plot 7-1 was this species, but it was dead by the time late speceis survey was conducted, so it could not be verified. "
PHAQ,POA,I,PART,PHAQ,,Phalaris aquatica,,Poaceae,Phalaris,species,perennial grass,perennial ,
PIAT4,ANA,I,PART,PIAT4,,Pistacia atlantica,,Anacardiaceae,Pistacia,species,perennial woody,perennial ,
PIEC,AST,I,INDIV,PIEC,,Helminthotheca echioides,Picris echioides,Asteraceae,Helminthotheca,species,"annual forb, minus N-fixers",annual ,
PLLA,PLA,I,PART,PLLA,,Plantago lanceolata,,Plantaginaceae,Plantago,species,perennial forb,perennial ,
